"","Round","State","Match-up"
"1011",20,"Hawaii",10
"1012",20,"Idaho",11
"1013",20,"Illinois",44
"1014",20,"Indiana",39
"1015",20,"Iowa",20
"1016",20,"Kansas",17
"1017",20,"Kentucky",24
"1018",20,"Louisiana",25
"1019",20,"Maine",9
"1020",20,"Maryland",35
"1021",20,"Massachusetts",40
"1022",20,"Michigan",34
"1023",20,"Minnesota",30
"1024",20,"Mississippi",19
"1025",20,"Missouri",36
"1026",20,"Montana",6
"1027",20,"Nebraska",12
"1028",20,"Nevada",15
"1029",20,"New Hampshire",8
"1030",20,"New Jersey",29
"1031",20,"New Mexico",14
"1032",20,"New York",46
"1033",20,"North Carolina",31
"1034",20,"North Dakota",2
"1035",20,"Ohio",41
"1036",20,"Oklahoma",22
"1037",20,"Oregon",23
